Film Name,Year,Duration,Ratings,Number of Rators,Summary,Votes
1532. Raincoat,2004,1h 57mNot Rated,7.7, (4.9K),"All he wanted was to see her just once. Manu was from a village in the backwoods. Neeru was the girl next door, his lost love.","4,894"
1533. Kisna: The Warrior Poet,2005,2h 51mNot Rated,4.5, (1.4K),"A man befriends and protects a British girl from a group of nationalists that want England to hand India back to them. They fall for each other, but the man is due to marry.","1,442"
1534. X: Past Is Present,2015,1h 45m,5.2, (738),A filmmaker with a mid-life crisis meets a mysterious young girl who reminds of every woman in his past.,738
1535. Gangaa Jamunaa Saraswathi,1988,3h 7m,4.6, (691),"Gangaa Jamunaa and Saraswathi the most pious rivers, create a unique holy merger, popularly known as ""Sangam"". Likewise the characters of our story Gangaa Jamunaa and Saraswathi desire to meet and merge in love of each other. Gangaa Jamunaa begin to love each other and pledge to become one, Saraswati silently loves Gangaa, and dedicates her life to him. However there are many, who would like to separate the happy lovers. There is Hansraj, who does it, and with the result Jamuna separates from Gangaa. Jamuna reaches Shanker's home, Shanker who already loved her becomes extremely happy finding Jamuna in his home. In the meantime Saraswati was about to come closer to Ganga. When Hansraj, who had earlier swindled the property of Ganga's father by illegal means wanted to get rid of the rightful owner Ganga, he got Ganga shot. Ganga was badly wounded and there was no hope of his survival.",691
1536. Koshish,1972,2h 5m,8.4, (1.7K),A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,"1,724"
1537. Teesri Manzil,1966,2h 52m,7.6, (1.3K),"A woman blames a nightclub drummer for the suspicious death of her sister, and seeks revenge. However, the pair work together to solve the mystery and become romantically involved, after he introduces himself under another name.","1,304"
1538. Jaanam Samjha Karo,1999,2h 33m,4.8, (2K),"Talented singer and dancer, Chandni's life is dominated by three aunts, and a soft-spoken maternal grandmother. She meets with a womanizer named Rahul, and falls in love with him. Rahul treats her just like any of his other girlfriends, and decides to have an affair with her. Rahul unexpectedly meets with his dadaji, who wants him to get married to Chandni. In order to fool him, Rahul asks Chandni to pretend to be his wife, which she does. After Dadaji leaves, will Rahul and Chandni go their separate ways, and will Rahul return to the waiting arms of his many girlfriends?","1,967"
1539. Saajan Chale Sasural,1996,2h 14m,5.9, (1.6K),A village-based singer attempts to find love and fame in the big city.,"1,616"
1540. Badmaash Babes,2023,1h 34m,5.8, (27),"When the stripper from Alisha's bachelor party is found dead the next morning, the high society lives of best friends Alisha, Maya and Zee go through a roller coaster ride.",27
1541. Blue,2009,1h 59mNot Rated,3.7, (5.2K),"A group of people, facing a lot of challenges, decide to hunt down lost treasure en route to India.","5,190"
1542. Newton,2017,1h 46mNot Rated,7.6, (21K),A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,"20,997"
1543. Sanaa,2022,1h 59m,7.2, (26),It follows an ambitious girl who is raging against an internal battle that is rooted in unhealed trauma.,26
1544. Dono,2023,2h 36m,5.7, (191),Modern relationships set against the backdrop of a lavish destination wedding.,191
1545. Aazam,2023,2h,8.5, (601),"Set in the underbelly of the Mumbai underworld, the succession battle of mafia don Nawab Khan, who is suffering from blood cancer and has only a few days to live. Who is the Aazam of this battle of defeat and victory?",601
"1546. LSD: Love, Sex Aur Dhokha",2010,2h 35mNot Rated,7.2, (6K),"A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely-linked tales.","5,994"
1547. Bol Bachchan,2012,2h 35mPG,5.6, (9.6K),"All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.","9,643"
1548. Bandh Darwaza,1990,2h 25mUnrated,5.4, (378),"A wealthy male banishes a demon, but years later his very own daughter resurrects it.",378
1549. Police Aur Mujrim,1992,2h 26m,5.7, (73),"Bombay's Police Commissioner Veer Bahadur Singh, lives with his wife, Sharda, and daughter, Jyoti. When DSP Vishal Khanna arrests two notorious robbers and pimps, Shera and Jaaga, and holds them in a cell, their hoodlum boss, Banarsi Das, kidnaps Jyoti, holds her for ransom, and will only release her after the release of his henchmen. Vishal takes it upon himself to rescue her with considerable success resulting in Shera and Jaaga's conviction and a two year prison sentence. After their term is over, Shera and Jaaga meet with Banarsi Das and plot a devious scheme to turn the lives of Veer Bahadur Singh and Vishal Khanna upside down. And helping the trio, behind the scenes, is none other than the Home Minister, Dharampal Singh, who will ensure that Shera, Jaaga, and Banarsi will not face any prosecution after they do away with Vishal, Veer Bahadur as well as their respective families.",73
1550. Jungle Ki Hasina,1990,,N/a,,N/a,N/a
1551. The Zoya Factor,2019,2h 14m,4.3, (2.7K),"Based on Anuja Chauhan's novel, Zoya Factor is a rom-com about Zoya, an advertising agent, and her relationship with the captain of Team India, Nikhil Khoda.","2,699"
1552. Saina,2021,2h 15m,4.4, (4.3K),"The story of Saina Nehwal, a professional badminton player who ranked number 1 in the sport.","4,270"
1553. Akayla,1991,3h,5.2, (491),"Inspector Vijay Verma is a very lonely cop whose only family is a younger brother, Ajay Verma, who is studying abroad. He also has two good friends, Shekhar and Seema. One day when he arrests criminal mastermind Jojo Braganza, he is shocked when Jojo is released from police custody because his corrupt lawyer shows the court a videotape of him at a completely different place,therefore he couldn't have committed the crime. From this day on they become enemies and Vijay is hot on Jojo's trail every time he commits a crime. One day while watching a film called 'Seeta Aur Geeta', he realizes that two people can be at different places at the same time if they are twins. He realizes that Jojo has a twin brother, Tony, who covers for him each time he commits a crime so he can get away with it easily. He successfully gets Jojo arrested and put in prison. However Jojo escapes and hides out at the house of Shekhar and Seema. When Shekhar realizes that Tony and Jojo are wanted criminals., he tries to contact Vijay. But Tony and Jojo find out and kill both Shekhar and Seema. Vijay is devastated by the loss of his two best friends and is comforted by nightclub dancer Sapna, and he falls in love with her. After his friends' deaths, he finds out that Tony and Jojo have Ajay on their hit list, so he tries to stop them, but his police commissioner, Shashi Kapoor, warns him against it.",491
1554. Dor,2006,2h 27m,7.9, (6.2K),"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her hands.","6,229"
1555. Daud: Fun on the Run,1997,3hNot Rated,5.9, (1.2K),"Nandu, a small-time thief, is assigned to smuggle an unknown packet for a petty amount. With the police pursuing him, Nandu has to elude them and deliver the packet on time.","1,168"
1556. Filhaal...,2002,2h 31mNot Rated,5.7, (277),"Rewa Singh (Tabu) and Sia Sheth (Sushmita Sen) are inseparable friends. Their bond has grown despite of Rewa's marriage to Dhruv Malhotra (Sanjay Suri). All rejoice when Rewa and Dhruv are expecting a baby. Complications arise, and as a result Rewa loses the baby, and is devastated all the more when told that she can no longer bear children. Sia comes to her rescue by making herself available as a surrogate mother. This uplifts Rewa's spirits, and plans are afoot to make preparations for the forthcoming child. Then Sia starts having second thoughts of having to keep the child for herself; and an insecure Rewa starts doubting her husband, who she feels is paying far too much attention on Sia.",277
1557. Commando 3,2019,2h 13mNot Rated,5.9, (4.4K),Karan goes to London to stop a terrorist attack on India.,"4,448"
1558. Rakta Charitra,2010,2h 5mNot Rated,7.6, (4.7K),A killer bandit decides to become a politician in order to avenge deaths in his family.,"4,654"
1559. Mere Brother Ki Dulhan,2011,2h 19mNot Rated,5.9, (10K),A quirky rom-com where Kush finds the ideal Indian bride Dimple for his brother Luv and a series of comical and unpredictable events follow.,"9,998"
1560. Jannat 2,2012,2h 30mR,6.3, (6K),A dealer of illegal guns is bullied into being an informer for a cop who wants to put an end to this racket.,"5,966"
1561. Shukranu,2020,1h 30m,6.4, (862),"Set in Delhi/UP/Haryana, SHUKRANU is a comic take on the darkest phases of Indian democracy through the encounters of a would-be groom who is forcefully sterilized just days before his much-awaited marriage.",862
1562. Everybody Loves Sohrab Handa,2023,1h 41m,7.0, (16),"At an anniversary party, Sohrab Handa is found dead, with his throat slit in the hall. As the investigation unravels, friendships are tested and secrets are revealed",16
1563. Journey Bombay to Goa: Laughter Unlimited,2007,2h 18mNot Rated,4.8, (507),"After learning a secret of a treasure from a runaway criminal, a group of tourists embarks on journey to find the hidden treasure from Bombay to Goa.",507
1564. Dil Hai Gray,2023,,N/a,,A police inspector investigates a guy who traps innocent women on social media.,N/a
1565. Aisha,2010,2h 6m,5.1, (4.4K),Chaos results after a wealthy woman decides to turn matchmaker for a naive village belle.,"4,368"
1566. Hazaaron Khwaishein Aisi,2003,2h,7.9, (5.2K),"Set in the backdrop of Indian Emergency 1975, the story revolves around 3 friends whose lives changes drastically after the turn of events.","5,191"
1567. Do Patti,N/a,,N/a,,N/a,N/a
1568. Amar Akbar Anthony,1977,3h 4mNot Rated,7.4, (8.1K),"Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.","8,114"
1569. Disco Dancer,1982,2h 15mPG-13,6.4, (1.6K),"After years of honest work a talented amateur singer becomes a famous professional, but an old enemy of his family is envious of his success.","1,638"
1570. Maine Pyaar Kyun Kiya,2005,2h 25m,5.6, (5.7K),"Samir is in love with Sonia but has unfortunately lied to her that he was already married.When she wants to meet her wife,Samir approaches his dutiful nurse Naina to play 'wife'a drama that turns out into a comedy of errors.","5,658"
1571. Operation Valentine,2023,,N/a,,"Operation Valentine is a patriotic, edge-of-the-seat entertainer and will showcase our Air Force heroes on the front-lines and the challenges they faced as they fought one of the biggest, fiercest aerial attacks that India has ever seen.",N/a
1572. Through the Eyelashes,1978,2h 15mNot Rated,7.6, (445),"A young man must deal with a broken engagement ceremony, while his to-be fiancée waits to be treated for blood cancer.",445
1573. Haqeeqat,1964,3h 4m,7.9, (543),A platoon of Indian soldiers encounters harsh realities while fighting in the Sino-Indian War of 1962.,543
1574. Crack,2h 2,m,N/a,,N/a,N/a
1575. Jai Santoshi Maa,1975,2h 25mNot Rated,6.4, (204),"Sathyavati is a great devotee of Santoshi Maa. But when Narada decides to test her devotion, she faces several challenges in her life.",204
1576. Geet Gaata Chal,1975,2h 10mNot Rated,7.5, (158),"Durga Babu, and his wife, Ganga, comes across Shyam, an orphan, who sings and dances on special occasions, and decide to take him home. Shyam meets with their daughter, Radha, and she slowly falls in love with him, but he thinks that she just wants to be friends. In his eyes, Shyam wants to be a free person, not tied down to anyone or anything, and would like to spend the rest of his life wondering, singing, and dancing. When he finds out that the family intend to get him married, he likens his plight to that of a caged bird, and flees, breaking Radha's heart. Will Shyam ever return? What impact will this have on the family?",158
1577. Aan Milo Sajna,1970,2h 57m,6.4, (256),"Widowed and ailing Savitri Choudhury lives a wealthy lifestyle along with her son, Anil, in a palatial mansion in India. She knows that Anil is only waiting for her to die so that he can inherit the wealth and refuses to give him any money. The Diwan convinces Anil to mend his ways, get married, and patch-up with his mom. Shortly thereafter Anil does appear to have mended his ways, gets involved in charity, and even introduces a young woman named Deepali to his mom. Deepali moves in the mansion, looks after Savitri so much so that Savitri decides to make her the sole beneficiary of her estate. What Savitri does not know is that Anil has hired Deepali to act as his fiancée, and that Deepali herself is not who she claims to be, and is actually in love with a local horse-riding peasant, Ajit, whose father was convicted of killing Savitri's husband, and soon Ajit himself will be arrested by the Police for having an affair and then killing a woman named Sita.",256
1578. Friendship,1980,2h 32mNot Rated,6.4, (1.1K),Vijay Varma (Amitabh Bachchan) and Ravi Kapoor (Shatrughan Sinha) are two close childhood friends. When they thought they have matured enough they decides to enter law policy: one as a police officer and another as a lawyer. There lives takes a turn when both reaches a woman named Sheetal Sahni (Zeenat Aman) at different places and time respectively. Both fell in love with her and does not relate each others emotion to one another. Then an old enemy of Vijay named Mr. Daaga (Prem Chopra) enters the scene and deploys such a way that will create misunderstandings between the two friends forever.,"1,081"
1579. Ab Dilli Dur Nahin,2023,,3.7, (109),"Abhay Shukla, a boy from a small town in Bihar reaches Delhi in the desire of success. Abhay comes from a family that is struggling with difficulties. Abhay aims to appear in the IAS exam and achieve success.",109
1580. Naam,1986,2h 57mNot Rated,7.4, (1.1K),"Follows the story of Vicky, who gets entrapped in a criminal plot after he leaves his country for work.","1,133"
1581. Hawa,2003,2h 9m,3.3, (356),"Sanjana lives in a big city along with her husband and two daughters. But things are not quite rosy as the couple faces a disastrous situation in there life which leads to divorce. Sanjana along with her brother, Vicky, her two daughters and a dog relocates to a lonely house in a forest. While residing there Sanjana begins to see some odd situations taking place especially when her house is struck by lightening, her dog attacked her and she and her daughters is mysteriously raped. This is too much to take for Sanjana and she decides to contact a sage who is specialized in black magic he worked a spell and Sanjana was able to gather information that several hundred years ago elders in a tribe thought the best punishment of wrong-doers was death - by pushing them down a deep ravine to fall and die and that the sum-total of the wretched souls have combined into one giant unseen and unfelt entity and this leads to a tense finale to Hawa.",356
1582. Apna Sapna Money Money,2006,2h 14mNot Rated,5.4, (2.2K),"Kishan is a young man from Goa whose brain is full of every conceivable trick to make a quick buck. He cons people by slipping into different outfits and by assuming many guises. Julie, is a sexy club dancer with quite a local reputation, but behind her raunchy exterior is a compassionate, kind-hearted woman who goes out of her way to help the needy. Sania Badnaam is a con-woman who uses her sexuality to lure men and leave them penniless later. Beautiful and unwilling to surrender to emotions easily, Sania craves only money and power. Danny Carlos, is a merciless underworld don with wacky fashion sense. He works from Bangkok and operates in India through Sania. Arjun Fernandez, an honorable man who is content making a simple living with whatever money he earns from his garage. He meets the woman of his dreams-Shivani Shastri-on a bed of red hot chillies. She is a simple girl from a Brahmin family, but her subborn, overprotective, and aging father, Pandit Satyabol Shastri, would never let her marry Arjun. It will take a hell of an effort to win her hand from her father. Namdev Mane, an honest cop dedicated to putting criminals behind bars. Some clever criminals who work in disguise have kept him on his toes.","2,199"
1583. Ghanchakkar,2013,2h 17m,5.9, (5.2K),A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,"5,213"
1584. Aarakshan,2011,2h 44m,6.2, (5.8K),The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,"5,835"
1585. Love in a Taxi,2023,1h 30m,5.6, (32),"Two cab drivers, a female driver on an airport taxi and a male driver on a 'black and yellow' taxi for the poor confronts two strange passengers on their nutty shifts. The promiscuous male passenger has all confidence to hit on the young and beautiful female driver. He recites poetry, he comments on the millennials and their music tastes and what not to get the attention of the desperate looking young girl. The girl gets a menstrual pain which changes the direction of the whole journey. The female passenger in the second cab is on a run to make a ransom amount to save her marriage has her ex boy friend has threatened her to leak her videos. The male driver realizes the potential of the situation and helpless looking woman. He conspires with his room mate on phone to utilize the unexpected golden opportunity.",32
1586. Jackpot,2013,2h 12mNot Rated,2.0, (819),There are places in Goa where the rich can easily be fooled out of their money. A group of swindlers take advantage of this and risk everything just to get caught in a web of their own making.,819
1587. Jurm,1990,1h 43mNot Rated,5.9, (169),"Police Inspector Shekhar Varma lives in Khar, Bombay, along with his wife, Meena, and a school-going daughter. His office is notified that Editor Ritesh Nandy has received death threats as he come across evidence that would expose some very influential people. Ritesh is assigned police protection, however, he gets killed. A stunningly beautiful woman, Geeta Sarabhai, comes forward as a witness to Ritesh's death, but is unable to identify the assailant. When she starts receiving death threats Shekhar and Inspector Pramod Kadam take turns to protect her. Shekhar and Geeta fall in love with each other, and Meena starts to suspect that Shekhar is having an affair. She gets him to admit this, and moves out to live with her dad. Then Pramod is grievously wounded while trying to protect Geeta and is hospitalized. Shekhar will soon find out that Ritesh's killing is closely linked to high-ranked police officials - and he will also find out that that no matter what he does, he will, leave alone Geeta, be unable to protect himself, Meena and his daughter.",169
1588. Ramayana: The Epic,2010,1h 38m,5.9, (641),"Lord Rama, son of King Dashrath is sent for exile for 14 years. His wife Sita and brother Laxman accompanies him. But she is deceitfully kidnapped by Ravana, The King of Lanka. Thus a might war takes place between ram & ravana. Hanuman with his monkey warriors, a worshiper of ram also joins him. Will Sita be saved?",641
1589. Yeh Saali Aashiqui,2019,2h 17m,7.9, (4.4K),"While in college, Sahil and Mittee fall in love, but an unfortunate incident turns their dreamy romance into a nightmare.","4,425"
1590. The Rise of Sudarshan chakra,2023,2h 36m,9.7, (24),Film The Rise Of Sudarshan Chakra Is Based On Sant Sudarshan Muni Lifes Journey,24
1591. American Desi,2001,1h 40mNot Rated,6.6, (1.7K),"College freshman Krishna Reddy, who has never cared for his Indian-American cultural heritage, looks forward to a new life on campus but is surprised to find that he has been assigned Indian roommates. Through his new experiences, he struggles to understand the side of himself he has always turned his back on in order to fit in.","1,658"
1592. Inkaar,2013,2h 5mNot Rated,6.1, (2.7K),"At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.","2,672"
1593. Ziddi,1997,2h 50mNot Rated,5.9, (1.8K),"It is the story of a hot-tempered and stubborn man Deva, who is feared because of his ruthless ways and severe punishment to the local hoodlums. Later, Deva avenges the death of his brother and sister.","1,819"
1594. Doosara Aadmi,1977,2h 17mNot Rated,6.6, (341),"Kanu, Timsi and Nisha find themselves entangled in an emotional saga, the struggle of Nisha's past, Kanu and Timsi's present and an uncertain future.",341
1595. Ek Phool Do Mali,1969,2h 30m,6.8, (260),"Somna lives a poor lifestyle with her widowed mom Leela, in the mountainous region of India and Nepal. She makes a living working on the apple farm of wealthy widower Kailash Nath Kaushal, who also runs a mountaineering school and has Amar Kumar as one of his students. Somna and Amar meet, fall in love, decide to get married with Amar's parents' and Leela's approval, with the marriage to take place shortly after Amar returns from a climbing expedition. A few days later, following an avalanche, they get the news that Amar and the other climbers have been killed. A devastated Somna is molested by Shamsher Singh, and Kailash comes to her rescue, he also offers to marry her when he finds out that she is pregnant. The marriage takes place, Somna gives birth to a boy, Bobby, while Shamsher is arrested and sent to jail for 6 years. Kailash, who is unable to have children after an accident, is thrilled to be a father, adores and is virtually inseparable from Bobby. Five years later, Somna and Kailash, while celebrating Bobby's 6th birthday, get a shock when Amar shows up at the party. Watch the impact Amar's presence has on Kailash, Somna, Leela, and Bobby.",260
1596. Kuch Naa Kaho,2003,2h 49mNot Rated,5.4, (2.4K),"A man is coerced by his uncle to get married and assigns this task to his secretary. However the man falls for the secretary herself, who has a dark past.","2,375"
1597. Yeh Ballet,2020,1h 57m,7.5, (1.5K),"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.","1,471"
1598. Miss Lovely,2012,1h 53mNot Rated,7.5, (13K),"A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.","12,740"
1599. Hasee Toh Phasee,2014,2h 21mNot Rated,6.8, (16K),"Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.","16,051"
1600. The Chess Players,1977,2h 9mNot Rated,7.5, (4K),"Wazed Ali Shah was the ruler of one of the last independent kingdoms of India. The British, intent on controlling this rich country, had sent General Outram on a secret mission to clear the way for an annexation. While pressure was mounting amidst intrigue and political maneuvers, Ali Shah composes poems and listens to music, secluded in his palace. The court was of no help, as exemplified by nobles Mir and Mirza, who, ignoring the situation of their country and all of their duties towards their families, spend their days playing endless parties of chess.","3,978"
1601. Kastoori,2019,1h 40m,9.5, (94),"14-year-old Gopinath Chavhan comes from a family of manual scavengers. He accompanies his alcoholic father and sometimes assists him in his work at the civil hospital morgue. His classmates harass him with casteist remarks and even Gopi begins to think his clothes smell of dead bodies and human excreta. When Gopi is invited to an event to collect a prize for topping a Sanskrit exam, he becomes obsessed with the idea of obtaining kastoori, an Indian musk, whose divine scent has been described in the Hindu mythological stories he likes listening to.",94
1602. Guide,1965,2hNot Rated,8.3, (8.5K),"When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.","8,470"
1603. Sharmajee Ki Beti,2023,1h 56m,N/a,,"Multi-generational ensemble about the modern, middle-class female experience and the lives of urban women, all with the common surname of Sharma.",N/a
1604. We Are Family,2010,1h 55mNot Rated,5.6, (3.4K),A divorced mother of three children runs a happy household - until her former husband brings his new career-oriented girlfriend into the picture.,"3,369"
1605. Bhoot Returns,2012,1h 25mNot Rated,2.6, (579),"A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",579
1606. Dasvidaniya,2008,1h 53m,7.8, (6.5K),"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.","6,492"
1607. Page 3,2005,2h 19m,7.3, (7K),A look at Mumbai's socialite party circle world through the eyes of a Page 3 journalist.,"7,038"
1608. Mister Mummy,2022,1h 37m,2.1, (894),A couple with opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.,894
1609. Criminal,1994,2h 3mNot Rated,5.7, (555),"After witnessing the sudden death of a woman, who was unable to afford hospital treatment, Dr. Ajay Kumar cancels his immigration to America and instead sets out to build a hospital that will cater to people who cannot afford treatment. Soon a hospital is built and is named ""Amma People's Hospital"". This attracts everyone's attention, and he becomes popular, especially with two women, Shweta and Sub-Inspector Ramya, and decides to marry Shweta. Shortly after Shweta gets pregnant, Ramya gets a distress call from her, claiming that she is being attacked by ""Ajay"". The police arrive to find her dead body and arrest Ajay for murder. Ajay's motive for killing her was monetary, as she is a wealthy heiress, and he is convicted and sentenced to death. While being transported to prison, the police van meets with an accident and Ajay escapes. With the police hot on his tail, he secretly meets with Ramya and tells her that he did not kill Shweta, and wants her help to catch the real killer. Will Ramya assist him, or conclude that he is using her to escape the death penalty?",555
1610. Budhia Singh: Born to Run,2016,1h 52mNot Rated,7.5, (1.6K),"A biopic about Budhia Singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world.","1,582"
1611. Kidnap,2008,2h 15mPG-13,4.6, (2.6K),A kidnapper has to settle a personal score with an influential businessman whose daughter he has kidnapped.,"2,551"
1612. Hawaizaada,2015,2h 28mNot Rated,5.5, (2.1K),"The film which is based on the life on an Indian scientist Shivkar Bapuji Talpade, who is credited to have constructed India's first unmanned plane is the tale of the hardships that he went through on the journey to discover. Also the film is set in the pre-independence era of Bombay of 1895.","2,081"
1613. Bhoot and Friends,2010,2h 13m,5.6, (204),"Four holidaying children go missing, then encounter a ghost and hoodlums in a dense forest.",204
1614. Family: Ties of Blood,2006,2h 30m,5.7, (2K),A slacker abducts the family of a crime kingpin to avenge the death of his brother.,"2,021"
1615. Untitled Sanjay Leela Bhansali/Nayanthara Project,N/a,,N/a,,N/a,N/a
1616. Deewana Mastana,1997,2h 20mNot Rated,6.7, (2.9K),Chaos ensues when a small time crook and a mental patient tries to win heart of a beautiful woman with comical outcomes.,"2,887"
1617. Dil Aashna Hai (...The Heart Knows),1992,2h 44m,4.9, (1.8K),"Laila, brought up in a brothel, is a cabaret dancer in Digvijay Singh's five star hotel. One day, her dying mother informs her that she is adopted. Laila is aided by Karan in her search for the mother.","1,775"
1618. Mirch Masala,1986,2h 8mNot Rated,7.7, (1.5K),"In colonial India, subedars (tax collectors) went from village to village with soldiers, often demanding more than taxes. A subedar commands Sonbai, a beautiful and confident woman whose husband is away in the city, to sleep with him. She slaps him and flees for safety to a spice factory where women grind chillies into fine powder. The aged factory guard, Abu Mian, locks the door behind her, refusing to open it to the soldiers, to the cowardly village men led by the mayor, and to the subedar himself. The town's teacher, who follows Gandhi, and a few women, led by the mayor's wife, protest ineffectually against this village-approved rape. The stage is set for a final confrontation.","1,524"
1619. Teri Meherbaniyan,1985,2h 20m,5.4, (295),"Ram is a govt official who tries to brings justice to an oppressed village. He almost succeed in his mission but is murdered by Vijay singh. His dream of justice is filled by his most loyal dog, MOTI.",295
1620. Joshila,1973,2h 17m,6.1, (139),"Jailor Manmohan Krishan is responsible for looking after convicts undergoing sentences of rigorous imprisonment. He has a young, beautiful and captive daughter named Shalini. Shalini is a poet, one day while reciting her poetry, she meets with a young man, who introduces himself as Amar, who also happens to be a poet himself. The two of them spend beautiful moments together and finds themselves attracted to each other. Shalini wants to find out why Amar is in jail. She is told in no uncertain terms that Amar is in jail for murder - for killing the brother of his former lover, Sapna. She also found out that this is not true and would strive to the best of her merit to get Amar release from jail because she is in love with him and would like to marry him.",139
1621. Shakthi: The Power,2002,2h 50m,6.1, (5.2K),A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.,"5,211"
1622. Maharaja,1998,2h 44m,4.2, (540),"Fearing his death, Ranbir Singh (Salim Ghouse) decides to kill Kohinoor when he is a child, in vain though. After 20 years Kohinoor (Govinda) returns to claim his rightful place in the kingdom. He has developed advanced powers over matter and animals, which he uses to his advance to free his nanny, Ameenabi (Aruna Irani) who is being held by Ranbir and his associates. Kohinoor must pass numerous tests, including being exploited by a television reporter, Shaili Mathur (Manisha Koirala), who claims that she loves him; and fight hungry, blinded, man-eating lions.",540
1623. Chalti Rahe Zindagi,2022,1h 40m,N/a,,"Krishna Bhagat is a local bread supplier in three different families of a housing complex - it's the early times of the pandemic setting in. A lockdown is announced and that sets to change lives for these families poignantly. Phase 1 of lockdown exposes the extramarital affair of Arjun's wife with Aru's husband, a neighbor. In phase 2 Sushma, pressurised by her son Akash, a TV journalist, forces Krishna to return the money that she had loaned him. Phase 3 brings to fore the conflict within Leela Seth, a lady in her late sixties, her daughter in law, Naina in her mid thirties and granddaughter, a teenager, Siya. Will all of them be able to emerge out of their situations with a brave spirit?",N/a
1624. Balwaan,1992,2h 22mNot Rated,4.6, (244),"When Arjun Singh joins the police force as an officer, his city In gangster Bhaiji wreaking havoc, framing Arjun for murder, torturing and killing Bhai Arjun's family, he decides to break out of jail and avenge his death.",244
1625. Tauba Tauba,2004,2h 1m,2.0, (116),"15-year-old Sunny (Amin Gazi), the motherless child of business tycoon Mohan Shanbagh (Ayub Khan), is obsessed with sex, partially because of his environment. His sex-crazed principal Mr. Gomes (Laxmikant Berde) goes around bedding all the teachers; and at home his Casanova father is involved in love games with secretary Sophia (Rashi Tyagi), who from time to time also teases Sunny with her sexuality. All these factors expose Sunny to sex at his young age, so when Sunny sees 25-year-old Payal (Payal Rohatgi), it's not long before he is smitten.",116
1626. Fever,2016,2h 3m,4.7, (731),"An assassin loses his memory in an accident. He wakes up knowing only his name, and a subconscious memory of a crime he has committed.",731
1627. Yeh Hai Jalwa,2002,2h 45mNot Rated,4.8, (2.8K),"Raj Saxena (Salman Khan) goes to London, expecting his long-lost dad (Rishi Kapoor) to warmly greet him, but things do not go as planned.","2,779"
1628. Neel Kamal,1968,2h 40m,6.8, (341),"Sleepwalker Sita Raichand (Waheeda Rehman) is rescued by Ram (Manoj Kumar) while walking on a railway track. Shortly thereafter Guruji (David) and Mr. Raichand (Balraj Sahni), approach Ram's mom (Lalita Pawar) with a marriage proposal. Finding the proposal suitable both Ram and his mom agree, and as a result Ram and Sita are married. After the marriage, Sita displays very strange behaviour, like walking away during the night for long durations. This increases the suspicions of everyone in Ram's household. Ram subsequently finds out that there is a lot more to Sita's disappearance than sleepwalking, as Sita seems attracted to someone else from a previous birth.",341
1629. Haseena Maan Jaayegi,1999,2h 27m,6.3, (3.5K),"Separated from their wealthy father and each other, two brothers (Sanjay Dutt, Govinda) try to win the hearts of their dream girls.","3,548"
1630. Mere Baap Pehle Aap,2008,2h 43mNot Rated,5.5, (2.5K),A son reunites his widowed father to the long lost lover of the latter and urges him to marry.,"2,466"
1631. Das Ka Dhamki,2023,2h 20mNot Rated,6.2, (1.8K),"Krishna Das, a waiter, falls for Keerthi, while his lookalike, Dr. Sanjay Rudra, dies in an accident the night before Das loses his job and love. Rao Ramesh encounters Krishna Das and recruits him to replace Sanjay in order to save the company.","1,776"
1632. Judaai,1997,2h 47m,6.1, (2.7K),"In order to attain wealth and a luxurious life, a greedy wife sells her husband to a rich woman. However she realizes that with a luxurious life, she has to pay a heavy price for this decision.","2,728"
